l1_text,l2_text,level,pos
Az,Little,A1,noun
Baba,Dad,A1,noun
Bacak,Leg,A1,noun
Bağırmak,To shout,A1,noun
Bağlamak,"To tie, to connect",A1,noun
Bahçe,Garden,A1,noun
Bakan,Minister (government),A1,noun
Bakış,View,A1,noun
Bakmak,To look,A1,noun
Balık,Fish,A1,adj
Banka,Bank,A1,noun
Bant,"Tape, band, strip",A1,noun
Banyo,Bathroom (with a shower or bath),A1,noun
Bardak,Glass (cup),A1,noun
Barış,Peace (not at war),A1,noun
Baş,Head,A1,noun
Başarı,Success,A1,noun
Basit,"Basic, simple",A1,noun
Başka,Other,A1,noun
Başkan,"President, chairman",A1,noun
Baskı,Pressure,A1,noun
Başlamak,To start,A1,noun
Basmak,"To step, to press",A1,noun
Batı,West,A1,noun
Batmak,To sink,A1,noun
Battaniye,Blanket,A1,noun
Bayrak,Flag,A1,noun
Bayram,Holiday,A1,noun
Bazen,Sometimes,A1,noun
Bazı,Some,A1,noun
Bebek,Baby,A1,noun
Bedava,Free,A1,noun
Beden,Body (or clothing size),A1,noun
Beğenmek,To like,A1,noun
Bekâr,Single (not married),A1,noun
Beklemek,To wait,A1,noun
Bel,"Waist, lower back",A1,noun
Belediye,Municipality,A1,noun
Belge,Document,A1,noun
Belki,Maybe,A1,noun
Belli,"Clear, obvious",A1,adj
Benzemek,To look like,A1,noun
Benzin,Gasoline,A1,noun
Beraber,Together,A1,noun
Beş,Five,A1,noun
Bey,Mr.,A1,noun
Beyaz,White,A1,noun
Beyin,Brain,A1,noun
Bez,Cloth (or diaper),A1,noun
Bıçak,Knife,A1,noun
Biçim,Shape,A1,adj
Bilet,Ticket,A1,noun
Bilgi,Information,A1,noun
Bilgisayar,Computer,A1,noun
Bilim,Science,A1,adj
Bilmek,To know,A1,noun
Bin,Thousand,A1,noun
Bina,Building,A1,verb
Binmek,"To ride, to get on (a bus)",A1,noun
Bir,One,A1,noun
Bırakmak,To leave something,A1,verb
Biraz,A little,A1,noun
Birçok,A lot,A1,noun
Biri,"Someone, one of them",A1,noun
Birinci,First,A1,noun
Birisi,Someone,A1,noun
Birkaç,A few,A1,noun
Birlikte,Together,A1,adj
Bitirmek,To finish (something),A1,noun
Bitki,Plant,A1,noun
Bitmek,To be finished,A1,noun
Böcek,Bug,A1,noun
Boğaz,Throat,A1,noun
Bölge,Region,A1,noun
Bölmek,To divide,A1,noun
Bölüm,"Division, chapter",A1,adj
Boru,Pipe,A1,noun
Boş,Empty,A1,noun
Boşaltmak,To empty (something),A1,noun
Boşanmak,To get divorced,A1,noun
Boy,Size,A1,noun
Boyamak,"To paint, to dye (something)",A1,noun
Boyun,Neck,A1,noun
Bozuk,Broken (stopped working),A1,noun
Bozulmak,To be broken (stop working),A1,noun
Bugün,Today,A1,noun
Bulmak,To find,A1,noun
Buluşmak,To meet up with,A1,adj
Burada,"Here, at/in this place",A1,noun
Burası,This place,A1,noun
Burun,Nose,A1,noun
Bütün,"All, entire",A1,noun
Büyük,Big,A1,noun
Büyümek,To grow (bigger),A1,noun
Çabuk,Quick,A1,noun
Cadde,Street,A1,noun
Çağırmak,"To invite, to call",A1,noun
Çalışmak,To work,A1,adj
Çalmak,"To steal, to play (an instrument)",A1,noun
Cam,Glasses,A1,noun
Çamaşır,Laundry,A1,noun
Cami,Mosque,A1,noun
Can,"Life, soul",A1,noun
Canlı,"Alive, live broadcast",A1,adj
Çanta,"Bag (backpack, purse)",A1,noun
Çarpmak,To crash,A1,noun
Çarşamba,Wednesday,A1,noun
Çatal,Fork,A1,noun
Çay,Tea,A1,noun
Çaydanlık,Teapot,A1,adj
Çekmek,To pull,A1,noun
Çeşit,"Type, variety",A1,noun
Cevap vermek,To answer,A1,noun
Çevirmek,"To flip, to translate something",A1,verb
Çevre,Environment,A1,noun
Çeyrek,Quarter (25%),A1,noun
Ceza,Punishment,A1,noun
Çiçek,Flower,A1,noun
Ciddi,Serious,A1,noun
Çift,Double,A1,noun
Çiftçi,Farmer,A1,adj
Cihaz,Electronic device,A1,noun
Çıkarmak,"To take off, to remove",A1,noun
Çıkmak,"To leave, climb",A1,noun
Çirkin,Ugly,A1,noun
Çizgi,"Line, drawing",A1,verb
Çocuk,Child,A1,adj
Çok,"Very, many",A1,noun
Çorap,Sock,A1,noun
Çözmek,"To solve, to untie",A1,noun
Çözüm,Resolution,A2,noun
Cuma,Friday,A2,noun
Cumartesi,Saturday,A2,noun
Cümle,Sentence,A2,noun
Çünkü,Because,A2,noun
Dağ,Mountain,A2,noun
Daha az,Less,A2,noun
Daha çok,More,A2,noun
Daire,"Apartment, circle",A2,noun
Dakika,Minute,A2,noun
Damla,Drop (of liquid),A2,noun
Dans etmek,To dance,A2,noun
Davet etmek,To invite,A2,noun
Davranış,behavior,A2,noun
Davranmak,To behave (in a certain way),A2,noun
Dayanmak,To endure,A2,noun
Defter,Notebook,A2,noun
Değer,Value,A2,noun
Değil,Not,A2,noun
Değişmek,(For something) to change,A2,noun
Değiştirmek,To change (something),A2,noun
Delik,Hole,A2,adj
Demek,"To say, it means...",A2,noun
Denemek,To try,A2,noun
Denge,Balance,A2,noun
Deniz,Sea,A2,noun
Deprem,Earthquake,A2,noun
Derece,Degrees (temperature),A2,noun
Deri,Skin,A2,noun
Derin,Deep,A2,noun
Ders,Class,A2,noun
Destek,Support,A2,noun
Devam etmek,To continue,A2,noun
Devlet,Government,A2,noun
Diğer,The other (one),A2,noun
Dik,Steep,A2,noun
Dikkat etmek,To be careful,A2,noun
Dil,Tongue (or language),A2,noun
Din,Religion,A2,noun
Dinlemek,To listen,A2,noun
Dinlenmek,To rest,A2,noun
Dirilmek,To be resurrected,A2,noun
Diş,Tooth,A2,noun
Diz,Knee,A2,noun
Doğal,Natural,A2,noun
Doğal gaz,Natural Gas,A2,noun
Doğmak,To be born,A2,noun
Doğru,Right,A2,noun
Doğu,East,A2,noun
Doksan,Ninety,A2,noun
Doktor,Doctor,A2,noun
Dokuz,Nine,A2,noun
Dolap,Cabinet,A2,noun
Dolaşmak,To wander,A2,noun
Doldurmak,To fill,A2,noun
Dolu,Full,A2,adj
Dondurma,Ice cream,A2,noun
Dönem,Period (of time),A2,noun
Döner,Shaved Meat,A2,noun
Dönmek,To turn,A2,noun
Dört,Four,A2,noun
Dost,Best friend,A2,noun
Dosya,Folder,A2,noun
Döviz,"Foreign currency (esp. Dollars, Euro)",A2,noun
Düğün,Wedding celebration,A2,noun
Dükkan,Shop,A2,noun
Duman,Smoke,A2,noun
Dün,Yesterday,A2,noun
Dünya,"Earth, world",A2,noun
Durmak,To stop,A2,noun
Durum,Situation,A2,noun
Dürüm,Sandwich wrap,A2,noun
Duş almak,To take a shower,A2,noun
Düşmek,To fall,A2,noun
Düşünce,Thought,A2,noun
Düşünmek,To think,A2,noun
Duvar,Wall,A2,noun
Duygu,"Emotion, sense",A2,noun
Duymak,"To hear, to sense",A2,noun
Düz,Straight,A2,noun
Düzeltmek,To correct,A2,noun
Düzenlemek,To organize,A2,noun
Eğitim,Education,A2,noun
Ek,"Addition, suffix",A2,noun
Ekim,October,A2,noun
Eklemek,To add (common speech),A2,noun
Ekmek,Bread,A2,noun
Ekonomi,Economy,A2,noun
Eksik,Missing,A2,verb
El,Hand,A2,noun
Elbette,Certainly,A2,noun
Eldiven,Glove,A2,noun
Elektrik,"Electricity, electric",A2,noun
Eleman,Worker,A2,noun
Elli,Fifty,A2,adj
Elma,Apple,A2,noun
Emekli,Retired,A2,adj
Emin,Certain,A2,noun
Emlakçı,Realtor,A2,adj
En,Most (or width),A2,noun
Enerji,Energy,A2,noun
Enflasyon,Inflation,A2,noun
Engel,Barrier,A2,noun
Engelli,Disabled,A2,adj
Erimek,To melt,A2,noun
Erkek,Boy (or male),A2,noun
Erken,Early,A2,noun
Eş,"Spouse, companion",A2,noun
Eşit,Equal,A2,noun
Eski,Old,A2,noun
Eskiden,In the past,A2,noun
Eşya,"Furnishings, stuff",A2,noun
Et,"Meat, flesh",A2,noun
Etki,Effect,A2,noun
Etkilemek,To affect,A2,noun
Etmek,To do,A2,noun
Ev,Home,A2,noun
Ev sahibi,Home owner,A2,noun
Evet,Yes,A2,noun
Evlenmek,To marry,A2,noun
Evli,Married,A2,adj
Eylül,September,A2,adj
Fabrika,Factory,A2,noun
Fakat,But,A2,noun
Fakir,Poor,A2,noun
Falan filan,Etc,A2,noun
Fare,Mouse (animal or for computer),A2,noun
Fark,Difference,A2,noun
Fark etmek,To notice,A2,noun
Farketmez,It doesn't matter,A2,noun
Farklı,Different,A2,adj
Fazla,Too much,A2,noun
Fikir,Idea,A2,noun
Film,Movie (film),A2,noun
Fincan,(Tea or turkish coffee) cup,A2,noun
Fırsat,Opportunity,A2,noun
Fiş,"Receipt, electrical plug",A2,noun
Fiyat,Price,A2,noun
Fotoğraf,Photograph,A2,noun
Galiba,Probably,A2,adj
Gayet,"Really, quite",A2,noun
Gaz,Gas (but not gasoline),A2,noun
Gazete,Newspaper (gazette),A2,noun
Geç,Late,A2,noun
Geç kalmak,To be late,A2,noun
Gece,Night,A2,noun
Geçen,"Last (week, month, year), one that passes",A2,noun
Geçici,Temporary,A2,adj
Geçmek,To pass,A2,noun
Geçmiş,Past,A2,noun
Gelecek,"Next, future",A2,noun
Gelenek,Tradition,A2,noun
Gelir,Income,A2,adj
Gelmek,To come,A2,noun
Genç,Young (person),A2,noun
Gene,Again,A2,noun
Genel,General,A2,noun
Genellikle,Generally,A2,adj
Geniş,Wide (or loose fitting),A2,noun
Gerçek,"True, truth",A2,noun
Gerçekten,Really,A2,noun
Gerekli,Needed,A2,adj
Gerekmek,To be needed,A2,noun
Geri gelmek,To come back,A2,noun
Geri vermek,To give back,A2,noun
Getirmek,To bring,A2,verb
Gezmek,To explore,A2,noun
Gibi,"Like, similar to",A2,noun
Gıda,Food (market),A2,noun
Giriş,Entrance,A2,noun
Girmek,To enter,A2,noun
Gitmek,To go,A2,noun
Giymek,To put on (clothing),A2,noun
Giysi,Outfit (clothing),A2,noun
Gizli,Secret (private),A2,adj
Göbek,"Stomach, belly, center",A2,noun
Göçmen,Refugee,A2,noun
Gök,Sky (or heaven),A2,noun
Göl,Lake,A2,noun
Göndermek,To send,A2,noun
Gönül,"Heart, soul",A2,noun
Görev,Duty,A2,noun
Görmek,To see,A2,noun
Görünmek,To appear,A2,noun
Görüşmek,"To talk with, to meet with",A2,noun
Göstermek,To show,A2,noun
Götürmek,To take something somewhere,A2,noun
Göz,Eye,A2,noun
Gözlük,Glasses,A2,adj
Gri,Grey,A2,noun
Grip,Flu,A2,noun
Grup,Group,A2,noun
Güç,Strength,A2,noun
Güçlü,Strong,A2,adj
Güle güle,Bye,A2,noun
Gülmek,To laugh (or smile),A2,noun
Gülümsemek,To smile,A2,adj
Gümüş,Silver,A2,noun
Gün,Day,A2,noun
Günah,Sin,A2,noun
Güneş,Sun,B1,noun
Güney,South,B1,noun
Güven,Trust,B1,noun
Güvenlik,Security,B1,adj
Güvenmek,To trust,B1,noun
Güzel,"Good, pretty",B1,noun
Haber,News,B1,noun
Hadi,"Hurry, let's go",B1,noun
Hafif,Light (weight),B1,noun
Hafta,Week,B1,noun
Hafta sonu,Weekend,B1,noun
Hâkim,Judge,B1,noun
Haklı,Right (justified in saying something),B1,adj
Hal,"State, status",B1,noun
Hâlâ,Still,B1,noun
Halı,Carpet,B1,adj
Halk,People (people group),B1,noun
Hamburger,Hamburger,B1,noun
Hangi,Which,B1,noun
Hanım,Mrs.,B1,noun
Hapishane,Jail,B1,noun
Harcamak,To spend,B1,noun
Hareket,Activity,B1,noun
Harika,Wonderful,B1,noun
Harita,Map,B1,noun
Hasta,Sick,B1,noun
Hastane,Hospital,B1,noun
Hata,"Mistake, imperfection",B1,noun
Hatırlamak,To remember,B1,noun
Hava,Air,B1,noun
Havaalanı,Airport,B1,noun
Havlu,Towel,B1,adj
Havuz,Pool,B1,noun
Hayal etmek,"To dream, imagine",B1,noun
Hayat,Life,B1,noun
Hayır,No,B1,noun
Hayvan,Animal,B1,noun
Hayvanat bahçesi,Zoo,B1,noun
Hazır,Ready,B1,noun
Haziran,June,B1,noun
Hedef,"Target, goal",B1,noun
Hediye,Gift,B1,noun
Hemen,Right now,B1,noun
Henüz,Not yet,B1,noun
Hep,All,B1,noun
Hepsi,All (of a group),B1,noun
Her,Every,B1,noun
Her gün,Every day,B1,noun
Her şey,Everything,B1,verb
Her zaman,All the time,B1,noun
Herhalde,Probably,B1,noun
Herhangi,Whichever,B1,noun
Herkes,Everyone,B1,noun
Hesap,Account,B1,noun
Hesap makinası,Calculator,B1,noun
Heyecanlanmak,To be excited,B1,noun
Heyecanlı,Excited,B1,adj
Hiçbir,None,B1,noun
Hikâye,Story,B1,noun
Hırdavatçı,Hardware store,B1,adj
Hissetmek,To feel (emotion),B1,noun
Hızlı,Fast,B1,adj
Hizmet etmek,To serve,B1,noun
Hoca,Teacher,B1,noun
Hoş,Nice,B1,noun
İbadet,Worship,B1,noun
İçecek,Drink,B1,noun
İçmek,To drink,B1,noun
İğne,Needle (or syringe),B1,noun
İhtiyaç,Need (basic need),B1,noun
İki,Two,B1,noun
İkram etmek,"To treat, to give something for free",B1,noun
İl,Province,B1,noun
İlaç,Medicine,B1,noun
İlçe,District (section of a province),B1,noun
İlgi,Interest,B1,noun
İlginç,Interesting (or strange),B1,noun
İlişki,Relationship,B1,adj
İlk,First,B1,noun
İlkbahar,Spring,B1,verb
İmkânsiz,Impossible,B1,adj
İmza,Signature,B1,noun
İnanç,Faith,B1,noun
İnanmak,To believe,B1,noun
İnce,Thin,B1,noun
İndirim,Discount,B1,noun
İnek,Cow,B1,noun
İngilizce,English (language),B1,adj
İnmek,To get off,B1,noun
İnşaat,Construction,B1,noun
İnsan,Person,B1,noun
İnternet,Internet,B1,noun
İp,Thread,B1,noun
İptal etmek,To cancel,B1,noun
İş,Work (profession),B1,noun
İşçi,Worker,B1,adj
Işık,Light,B1,noun
İsim,Name,B1,noun
Islak,Wet,B1,noun
İşlem,Process,B1,noun
İstemek,To want,B1,noun
İyi,Good,B1,noun
İzin,"Permission, permit",B1,noun
İzin vermek,To give permission,B1,noun
İzlemek,"To watch, to follow",B1,noun
Kaba,Rude,B1,noun
Kablo,Cable,B1,noun
Kabul etmek,To accept,B1,noun
Kaç,How many,B1,noun
Kaçmak,To escape,B1,noun
Kadar,Quantity,B1,noun
Kadın,Woman,B1,noun
Kafa,Head,B1,noun
Kâğıt,Paper,B1,noun
Kahraman,Hero,B1,noun
Kahvaltı,Breakfast,B1,noun
Kahve,Coffee,B1,noun
Kahverengi,Brown,B1,noun
Kalabalık,Crowded (or crowd),B1,adj
Kaldırmak,To remove,B1,noun
Kalem,Pen (or other writing utensil),B1,noun
Kalıcı,Permanent,B1,adj
Kalın,Thick,B1,adj
Kalite,Quality,B1,adj
Kalkmak,To rise,B1,noun
Kalmak,To stay,B1,noun
Kâlp,Heart,B1,noun
Kan,Blood,B1,noun
Kanal,"Canal, channel",B1,noun
Kanepe,Couch,B1,noun
Kanun,Law,B1,noun
Kapak,Cover,B1,noun
Kapatmak,To close (something),B1,noun
Kapı,Door,B1,noun
Karanlık,Darkness,B1,adj
Karar vermek,To decide,B1,noun
Kardeş,Sibling,B1,verb
Karı,Wife,B1,noun
Karın,Stomach,B1,noun
Karıştırmak,To mix,B1,noun
Karşı,"Opposite side, against",B1,noun
Kart,Card,B1,noun
Kasa,Checkout,B1,noun
Kasaba,Town,B1,noun
Kaşık,Spoon,B1,noun
Kasım,November,B1,noun
Kat,Floor (layer),B1,noun
Katılmak,"To join, to agree",B1,noun
Kavşak,Roundabout,B1,noun
Kaya,Boulder,B1,noun
Kaybetmek,To lose,B1,noun
Kayıt,Record,B1,noun
Kaymak,"To slide, skate (or whipped cream)",B1,noun
Kaynak,Source,B1,noun
Kaza,"Crash, accident",B1,noun
Kazanmak,To win,B1,noun
Kebab,Kabob,B1,noun
Keçi,Goat,B1,adj
Kedi,Cat,B1,noun
Kelime,Word,B1,adj
Kenar,Edge,B1,noun
Kent,City,B1,noun
Kesilmek,"To be cut, to be turned off",B1,noun
Kesin,Certain,B1,noun
Kesinlikle,Certainly,B1,adj
Kesmek,To cut,B1,noun
Kibar,Polite,B1,noun
Kılıç,Sword,B1,adj
Kilim,"Carpet, floor mat",B1,adj
Kilitlemek,To lock,B1,adj
Kılmak,"To do, to make, to perform",B1,noun
Kilo,Kilogram,B1,noun
Kilometre,Kilometer,B1,noun
Kim,Who,B1,noun
Kimlik,Identity,B1,adj
Kırk,Forty,B1,noun
Kirli,Dirty,B1,adj
Kırmızı,Red,B1,noun
Kış,Winter,B1,noun
Kısa,Short,B1,noun
Kişi,Person,B1,noun
Kısım,Part,B1,noun
Kitap,Book,B1,noun
Kız,Girl,B1,noun
Kız çocuk,"Girl, daughter",B1,adj
Kız kardeş,Sister,B1,noun
Kızarmak,"To fry, to turn red",B1,noun
Kızgın,"Angry, hot",B1,noun
Koca,Husband (or huge),B1,noun
Koku,Smell,B1,noun
Kol,Arm,B1,noun
Kol saati,Wrist watch,B1,noun
Kolay,Easy,B1,noun
Koltuk,Couch (or armchair),B1,noun
Kombi,Natural gas water heater,B1,noun
Komik,Funny,B1,noun
Kontrol etmek,To check,B1,noun
Konu,Topic,B1,noun
Konuşmak,To talk,B1,noun
Köpek,Dog,B1,noun
Kör,Blind,B2,noun
Köri,Curry,B2,noun
Koridor,Aisle,B2,noun
Korkmak,To be afraid,B2,noun
Korumak,To protect,B2,noun
Köşe,Corner,B2,noun
Koşmak,To run,B2,noun
Kötü,Bad,B2,noun
Kötülük,Evil,B2,adj
Köy,Village,B2,noun
Koymak,To put,B2,noun
Koyu,"Dark, intense",B2,noun
Koyun,Sheep,B2,noun
Kral,King,B2,verb
Kredi,Credit (loan),B2,noun
Kriz,Crisis,B2,noun
Küçük,Small,B2,noun
Kulak,Ear,B2,noun
Kullanmak,To use,B2,noun
Kültür,Culture,B2,noun
Kum,Sand,B2,noun
Kumanda,Remote control,B2,noun
Kurabiye,Cookie,B2,noun
Kural,Rule,B2,noun
Kurbağa,Frog,B2,noun
Kurban etmek,To sacrifice (an animal),B2,noun
Kurmak,"To build (a building), to establish (an organization)",B2,noun
Kurt,Wolf,B2,noun
Kurtarmak,"To save, to rescue",B2,noun
Kurtulmak,"To be saved, rescued",B2,noun
Kuru,Dry,B2,noun
Kuş,Bird,B2,noun
Kusura bakma,I'm sorry (informal apology),B2,adj
Kusursuz,"Flawless, perfect",B2,adj
Kutlamak,To celebrate,B2,noun
Kutu,Box,B2,noun
Kuzey,North,B2,noun
Laf,"Word, empty words",B2,noun
Lastik,Tire,B2,noun
Lavabo,"Bathroom, bathroom sink",B2,noun
Lâzım,Needed,B2,noun
Lezzetli,"Flavorful, good tasting",B2,verb
Lider,Leader,B2,noun
Limon,Lemon,B2,noun
Lira,Lira (Turkish unit of money),B2,noun
Lise,High school,B2,noun
Lüks,Luxurious,B2,noun
Lütfen,Please,B2,noun
Maç,Sports match,B2,noun
Madde,Material,B2,noun
Mağaza,Store,B2,noun
Mahalle,Neighborhood (part of an ilçe),B2,noun
Makine,Machine,B2,noun
Mal,"Goods, property",B2,noun
Malzeme,"Ingredient, material",B2,noun
Mantık,Logic,B2,noun
Manzara,Scenery,B2,noun
Marka,Brand,B2,noun
Mart,March,B2,noun
Masa,Table,B2,noun
Mavi,Blue,B2,noun
Maya,Yeast,B2,noun
Mayıs,May,B2,noun
Meclis,Parliament,B2,adj
Medya,Media,B2,noun
Mektup,Letter (mail),B2,noun
Memleket,Homeland,B2,noun
Merak etmek,"To worry, to be curious",B2,noun
Merdiven,"Stairs, ladder",B2,noun
Merhaba,Hello,B2,noun
Merkez,Center,B2,noun
Mesafe,Distance,B2,noun
Mesaj,Message (usually text message),B2,noun
Mesela,For example,B2,noun
Mesele,"Issue, matter",B2,noun
Meslek,Profession,B2,noun
Metal,Metal,B2,noun
Metre,Meter (or tape measure),B2,noun
Metre kare,Square meters,B2,noun
Meydan,"City square, commons",B2,noun
Meyve,Fruit,B2,noun
Mide,Stomach,B2,noun
Miktar,Amount,B2,noun
Millet,"People, nation",B2,noun
Milyar,Billion,B2,noun
Milyon,Million,B2,noun
Miras,Inheritance,B2,noun
Misafir,Guest,B2,noun
Mısır,"Corn, Egypt",B2,noun
Mor,Purple,B2,noun
Müdür,Manager,B2,noun
Mum,Candle,B2,noun
Mümkün,Possible,B2,noun
Müsait,Available,B2,noun
Müşteri,Customer,B2,noun
Mutfak,Kitchen,B2,noun
Mutlaka,Absolutely,B2,noun
Mutlu,Happy,B2,adj
Mutsuz,Unhappy,B2,adj
Müzik,Music,B2,noun
Nakit,Cash,B2,noun
Nasıl,How,B2,noun
Ne,What,B2,noun
Neden,Why,B2,noun
Nefes almak,To breathe,B2,noun
Nehir,River,B2,noun
Nerede,Where,B2,noun
Neredeyse,Almost,B2,noun
Net,"Clear, plain",B2,noun
Neyse,Anyway,B2,noun
Nisan,April,B2,noun
Nişanlı,Engaged,B2,adj
Niye,Why (informal),B2,noun
Nöbetçi,"Open during late hours (ER, eczane, etc)",B2,adj
Nokta,Point (or period),B2,noun
Normal,Normal,B2,noun
Normalde,Normally,B2,noun
Numara,Number,B2,noun
Öbür,The other (one),B2,noun
Ocak,January (or stove),B2,noun
Oda,Room,B2,noun
Ödemek,To pay (money),B2,noun
Odun,Log,B2,noun
Öğrenci,Student,B2,noun
Öğretmek,To teach,B2,noun
Öğretmen,Teacher,B2,noun
Oğul,Son,B2,noun
Okul,School,B2,noun
Okumak,"To read, study",B2,noun
Okyanus,Ocean,B2,noun
Olay,Event,B2,noun
Oldukça,Really,B2,noun
Öldürmek,To kill,B2,noun
Olmak,"To be, to become",B2,noun
Ölmek,To die,B2,noun
Ölüm,Death,B2,adj
Olur,Okay,B2,adj
On,Ten,B2,noun
Onaylamak,"To condone, accept",B2,noun
Önce,Before,B2,noun
Önemli,Important,B2,adj
Orman,Forest,B2,noun
Örneğin,For example,B2,noun
Örnek,Example,B2,noun
Orta,"Middle, center",B2,noun
Ortak,Shared,B2,noun
Örümcek,Spider,B2,noun
Ot,Feed (for an animal),B2,noun
Otel,Hotel,B2,noun
Otobüs,Bus,B2,noun
Otomobil,Automobile,B2,noun
Oturmak,To sit,B2,noun
Otuz,Thirty,B2,noun
Öykü,Story,B2,noun
Öyle,"That way, like that",B2,noun
Oynamak,To play,B2,noun
Oyun,Game,B2,noun
Oyuncak,Toy,B2,noun
Özel,Special,B2,noun
Özellikle,Especially,B2,adj
Özgür,Free (not enslaved),B2,noun
Özlemek,To miss (someone),B2,noun
Özür dilerim,I'm sorry (for a wrong I've done),B2,noun
Pahalı,Expensive,B2,adj
Pamuk,Cotton,B2,noun
Pantolon,Pants,B2,noun
Para,Money,B2,noun
Parça,Part,B2,noun
Parmak,Finger,B2,noun
Parti,Party,B2,noun
Pastane,Bakery,B2,noun
Patlamak,"To explode, to pop",B2,noun
Patlıcan,Eggplant,B2,adj
Patron,"Employer, boss",B2,noun
Paylaşmak,To share,B2,noun
Pazar,Sunday (or bazaar),B2,noun
Pazartesi,Monday,B2,noun
Pek,Very,B2,noun
Peki,Well,B2,noun
Pembe,Pink,B2,noun
Pencere,Window,B2,noun
Perde,Curtains,B2,noun
Perşembe,Thursday,B2,noun
Peşin,Paid up front (not in installments),B2,noun
Pişman,Regretful,B2,noun
Plan,Plan,B2,noun
Polis,Police officer,B2,adj
Portakal,Orange,B2,noun
Problem,Problem,B2,noun
Program,"Schedule, computer program",B2,noun
Proje,Project,B2,noun
Puan,Point (in a game),B2,noun
Rahat,Comfortable,B2,noun
Reddetmek,To refuse,B2,noun
Reklam,Advertisement,B2,noun
Renk,Color,B2,noun
Resim,Picture,B2,noun
Ruh,Spirit,B2,noun
Rüya,Dream,B2,noun
Rüzgâr,Wind,B2,noun
Saat,"Time, hour",C1,noun
Sabah,Morning,C1,verb
Sabırlı,Patient,C1,adj
Sabun,Soap,C1,noun
Saç,Hair,C1,noun
Sade,"Plain, unsweetened",C1,noun
Sadece,Only,C1,noun
Sağlamak,To provide,C1,noun
Sağlık,health,C1,adj
Sağol,Thanks,C1,noun
Sahip,Owner,C1,noun
Sakin,Calm,C1,noun
Saklamak,"To store, to hide (something)",C1,noun
Salatalık,Cucumber,C1,adj
Salı,Tuesday,C1,adj
Salon,Living room,C1,noun
Sanat,Art,C1,noun
Sandalye,Chair,C1,noun
Saniye,Second,C1,noun
Sanki,As if,C1,noun
Sanmak,"To think, suppose",C1,noun
Şans,Chance,C1,noun
Şapka,Hat,C1,noun
Sarı,Yellow,C1,noun
Şarj,Charge (for a phone or other device),C1,noun
Şarkı,Song,C1,noun
Şart,"Condition, need",C1,noun
Satın almak,To purchase,C1,noun
Satmak,To sell,C1,noun
Savaş,War,C1,noun
Sayfa,Page,C1,noun
Saygı,Respect,C1,noun
Sayı,Number,C1,noun
Sebep,"Reason, cause",C1,noun
Sebze,Vegetable,C1,noun
Seçim,"Choice, election",C1,adj
Seçmek,To choose,C1,noun
Şehir,City,C1,noun
Sehpa,Coffee table,C1,noun
Şeker,Sugar,C1,noun
Şekil,Shape,C1,noun
Sekiz,Eight,C1,noun
Seksan,Eighty,C1,noun
Sene,Year,C1,noun
Sepet,Basket,C1,noun
Serbest,Free (independent),C1,noun
Sert,"Hard, harsh",C1,noun
Servis,"Shuttle, place setting",C1,verb
Ses,Sound,C1,noun
Ses kaydı yapmak,To record (sound),C1,noun
Sevgi,Love,C1,noun
Sevinmek,"To rejoice, to be happy",C1,noun
